Feature_ID,Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Feature_Type,Feature_Type_Code,Approval_Status,Approval_Date,Reference,Last_Updated
288,"Anseris Mons","Mars",52.51,-29.81,86.65,-29.49,-30.16,87.18,86.14,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","1991","57","10/1/06"
394,"Arsia Mons","Mars",470,-8.26,239.91,-4.72,-11.57,243.82,236.27,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","1973","57","10/1/06"
417,"Ascraeus Mons","Mars",456.4,11.92,255.92,15.66,8.18,259,252.49,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","1973","57","10/1/06"
482,"Ausonia Montes","Mars",333.13,-25.42,99.04,-23.14,-28.79,102.07,96.03,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","1991","57","5/18/12"
486,"Australe Montes","Mars",411.67,-80.19,14.05,-76.39,-83.17,30.5,7.54,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","2003","57","10/1/06"
1100,"Centauri Montes","Mars",271,-38.67,95.52,-36.12,-40.49,97.8,94.48,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","1991","","10/1/06"
1124,"Chalce Montes","Mars",100,-53.72,322.35,-53,-54.12,323.51,321.42,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","1991","57","10/1/06"
1149,"Charitum Montes","Mars",933.54,-58.1,319.71,-52.9,-60.55,332.63,305.94,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","1973","57","10/1/06"
1315,"Coronae Montes","Mars",247.4,-34.31,86.11,-32.88,-36.63,88.69,84.3,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","1991","57","10/1/06"
1714,"Echus Montes","Mars",397.06,7.81,282.05,11.09,4.56,283.67,280.91,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","1985","57","10/1/06"
1783,"Elysium Mons","Mars",401,25.02,147.21,28.26,21.78,150.82,143.59,"Planetocentric  +East  0 - 360","Mons, montes",MO,"Approved","1973","57","10/1/06"
